name,gender,date_of_birth,email,phone,department_name,job_title
Ahmed Hossain Khan,Male,1975-01-14,1856806745@yopmail.com,1856806745,Production (SCCL-CTG),Operator
Alauddin Khan,Male,1975-01-14,1856806746@yopmail.com,1856806746,Production (SCCL-DF),"Operator, Brine"
Ali Ahmed,Male,1975-01-14,1856806747@yopmail.com,1856806747,HR & Admin (SPL-HO),"Officer, Admin"
Alok Dey,Male,1975-01-14,1856806748@yopmail.com,1856806748,Security,Asst.Inspector
Amar Kanti Dhar,Male,1975-01-14,1856806749@yopmail.com,1856806749,Security,Security Guard
Anwar Kabir,Male,1975-01-14,1856806750@yopmail.com,1856806750,Blow Mould,Helper
Apon Barua,Male,1975-01-14,1856806751@yopmail.com,1856806751,Blow Mould,Helper
Arif,Male,1975-01-14,1856806752@yopmail.com,1856806752,Electrical & Instrument (SCCL-DF),Assistant Technician
ASM Shahed Hossain Khan,Male,1975-01-14,1856806753@yopmail.com,1856806753,Production (SCCL-CTG),Deputy Manager
ASM Shahidul Alam,Male,1975-01-14,1856806754@yopmail.com,1856806754,Production (SCCL-CTG),Sr.Officer
ASM Shahidul Alam,Male,1975-01-14,1856806755@yopmail.com,1856806755,,
Ataharul Islam,Male,1975-01-14,1856806756@yopmail.com,1856806756,Electrical & Instrument (SCCL-DF),Engineer
Atiqur Rahman,Male,1975-01-14,1856806757@yopmail.com,1856806757,Quality Assurance (SCCL-CTG),Lab Helper
Aynal Hossain,Male,1975-01-14,1856806758@yopmail.com,1856806758,Blow Mould,Asst.Optr
Ayub Ali-1,Male,1975-01-14,1856806759@yopmail.com,1856806759,Transport,Helper
Azizul Haque,Male,1975-01-14,1856806760@yopmail.com,1856806760,Mechanical (SCCL-DF),Assistant Technician
Barkat Ali,Male,1975-01-14,1856806761@yopmail.com,1856806761,Production (SCCL-DF),Asst. General Manager
Belayet Hossain,Male,1975-01-14,1856806762@yopmail.com,1856806762,Blow Mould,Asst.Optr
Bijoy Das,Male,1975-01-14,1856806763@yopmail.com,1856806763,Blow Mould,Helper
Biraj Chandra Pal,Male,1975-01-14,1856806764@yopmail.com,1856806764,Production (SCCL-CTG),Deputy Manager
Chandra Kanta Barua,Male,1975-01-14,1856806765@yopmail.com,1856806765,Security,Officer
Debashish Saha,Male,1975-01-14,1856806766@yopmail.com,1856806766,Quality Assurance (SCCL-DF),"Sr.Chemist, QC"
Depankar Basak,Male,1975-01-14,1856806767@yopmail.com,1856806767,Quality Assurance (SCCL-CTG),Sr.Chemist
Dewan Mahmudur Rahman,Male,1975-01-14,1856806768@yopmail.com,1856806768,Sales & Marketing (Caustic),"DGM, Sales & Marketing"
Dostogir Hossain Rony,Male,1975-01-14,1856806769@yopmail.com,1856806769,Transport,Lorry Helper
Dulal Chandra Barua,Male,1975-01-14,1856806770@yopmail.com,1856806770,Transport,Driver
Entaj Ali Meah,Male,1975-01-14,1856806771@yopmail.com,1856806771,Transport,Lorry Helper
Farhad Ahmed,Male,1975-01-14,1856806772@yopmail.com,1856806772,Supply Chain Foreign (SCCL-HO),Manager
Faruque Hossain,Male,1975-01-14,1856806773@yopmail.com,1856806773,Production (SCCL-DF),"Operator, Chlorine Cylinder Filling"
Farzana Afroze,Male,1975-01-14,1856806774@yopmail.com,1856806774,Management (SCCL-HO),Chirperson
Fazal Ahmed,Male,1975-01-14,1856806775@yopmail.com,1856806775,Store (SCCL-CTG),Store Clerk
F.M.Faisail Alam,Male,1975-01-14,1856806776@yopmail.com,1856806776,Sales & Marketing (SSCL-HO),Asst.Officer
Gius Uddin,Male,1975-01-14,1856806777@yopmail.com,1856806777,Accounts & Finance (SCCL-CTG),Sr. Manager
Hasanur Rashid,Male,1975-01-14,1856806778@yopmail.com,1856806778,Mechanical (SCCL-CTG),Sr.Mech 
Hasibul Kabir,Male,1975-01-14,1856806779@yopmail.com,1856806779,Mechanical (SCCL-DF),Deputy Manager
Hasin Raihan Rony,Male,1975-01-14,1856806780@yopmail.com,1856806780,Electrical & Instrument (SCCL-DF),Trainee Engineer
hsib,Male,1975-01-14,1856806781@yopmail.com,1856806781,,
Ibrahim Khalil,Male,1975-01-14,1856806782@yopmail.com,1856806782,HR & Admin (SCCL-HO),Assistant. Manager
Iftekhar Kabir,Male,1975-01-14,1856806783@yopmail.com,1856806783,Operation (SPPL-HO),Chief Engineer
Imam Masud Rony,Male,1975-01-14,1856806784@yopmail.com,1856806784,Mechanical (SCCL-CTG),Lathe Operator
Irtiza Hossen,Male,1975-01-14,1856806785@yopmail.com,1856806785,Quality Assurance (SCCL-CTG),T/Chemist
Ismail Hossain,Male,1975-01-14,1856806786@yopmail.com,1856806786,Production (SCCL-DF),"Operator, CPW"
Jabed Chowdhury,Male,1975-01-14,1856806787@yopmail.com,1856806787,HR & Admin (SCCL-CTG),Assistant. Manager
Jafor Ahmed,Male,1975-01-14,1856806788@yopmail.com,1856806788,Transport,Lorry Helper
Jahidur Rahman,Male,1975-01-14,1856806789@yopmail.com,1856806789,HR & Admin (SCCL-DF),Security Officer
Jamal Uddin,Male,1975-01-14,1856806790@yopmail.com,1856806790,Transport,Lorry Driver
Jamir Uddin,Male,1975-01-14,1856806791@yopmail.com,1856806791,Transport,Lorry Helper
Jitu Barua,Male,1975-01-14,1856806792@yopmail.com,1856806792,Quality Assurance (SCCL-CTG),"Chemist, QC"
Kalim Ullah,Male,1975-01-14,1856806793@yopmail.com,1856806793,Production (SCCL-CTG),"Senior Engineer, DCS"
Kamol Kumar Nath,Male,1975-01-14,1856806794@yopmail.com,1856806794,Blow Mould,Officer
Kazi Md. Altaf Hossain,Male,1975-01-14,1856806795@yopmail.com,1856806795,Mechanical (SCCL-DF),Operator
Kazi Md. Babul Mia,Male,1975-01-14,1856806796@yopmail.com,1856806796,Transport,Lorry Driver
Lalin Marma,Male,1975-01-14,1856806797@yopmail.com,1856806797,HR & Admin (SSCL-CTG),Peon
Mahbub Hasan,Male,1975-01-14,1856806798@yopmail.com,1856806798,Quality Assurance (SCCL-CTG),Trainee Chemist
Mahmudul Hasan,Male,1975-01-14,1856806799@yopmail.com,1856806799,Quality Assurance (SCCL-DF),"Chemist, QC"
Mahmudullah Algalib,Male,1975-01-14,1856806800@yopmail.com,1856806800,HR & Admin (SCCL-HO),Officer
Main Uddin Ahmed,Male,1975-01-14,1856806801@yopmail.com,1856806801,Accounts & Finance (SPPL-HO),Officer
M. A. Jabbar,Male,1975-01-14,1856806802@yopmail.com,1856806802,Regulatory Affairs,Sr. Officer
 Mamunur Rashid Patwary,Male,1975-01-14,1856806803@yopmail.com,1856806803,Production (SCCL-DF),"Asst. Manager, CL2,HCL & Hypo"
Manjur Alam,Male,1975-01-14,1856806804@yopmail.com,1856806804,Store (SCCL-CTG),Officer
Manjur Hossain,Male,1975-01-14,1856806805@yopmail.com,1856806805,Blow Mould,Helper
Manzurul Alam,Male,1975-01-14,1856806806@yopmail.com,1856806806,Production (SCCL-CTG),Sr.Officer
Masud Alam,Male,1975-01-14,1856806807@yopmail.com,1856806807,HR & Admin (SSCL-CTG),Driver
Masud Rana,Male,1975-01-14,1856806808@yopmail.com,1856806808,Quality Assurance (SCCL-DF),"Asst. General Manager,Quality Assurance"
Md. Abdul Hannan Ali,Male,1975-01-14,1856806809@yopmail.com,1856806809,HR & Admin (SCCL-DF),Security Guard
Md.Abdul Hannan Sarker,Male,1975-01-14,1856806810@yopmail.com,1856806810,Quality Assurance (SCCL-DF),"Chemist, QC"
Md. Abdul Kader,Male,1975-01-14,1856806811@yopmail.com,1856806811,Operation (SPL-DF),Fitter
Md. Abdul Kader,Male,1975-01-14,1856806812@yopmail.com,1856806812,Transport,Lorry Helper
Md. Abdul Kader,Male,1975-01-14,1856806813@yopmail.com,1856806813,,
Md.Abdul Kaiom Bishas,Male,1975-01-14,1856806814@yopmail.com,1856806814,Service (SPL-DF),Technician
Md.Abdul Kaium Mazumder,Male,1975-01-14,1856806815@yopmail.com,1856806815,Sales & Marketing (SSCL-HO),Sr.Executive
Md. Abdullah,Male,1975-01-14,1856806816@yopmail.com,1856806816,Blow Mould,Helper
Md. Abdul Mannan,Male,1975-01-14,1856806817@yopmail.com,1856806817,Transport, Truck Driver
Md. Abdul Monnaf,Male,1975-01-14,1856806818@yopmail.com,1856806818,Production (SCCL-CTG),Trainee Engineer
Md.Abdur Rahman 2,Male,1975-01-14,1856806819@yopmail.com,1856806819,Mechanical (SCCL-DF),Assistant Mechanical Fitter
Md. Abdur Rauf,Male,1975-01-14,1856806820@yopmail.com,1856806820,Mechanical (SCCL-DF),"Operator, Caco3"
Md.Abdur Razzak,Male,1975-01-14,1856806821@yopmail.com,1856806821,Production (SCCL-DF),"Operator, HCL & Hypo,ETP"
Md. Abdus Samad,Male,1975-01-14,1856806822@yopmail.com,1856806822,Store (SCCL-DF),Store Assistant
Md. Abubakar Siddique,Male,1975-01-14,1856806823@yopmail.com,1856806823,Production (SPPL-CTG),Engineer (Process)
Md. Abu Bakkar,Male,1975-01-14,1856806824@yopmail.com,1856806824,HR & Admin (SCCL-DF),Security Inspector
Md.Abu Jaher,Male,1975-01-14,1856806825@yopmail.com,1856806825,Electrical & Instrument (SCCL-DF),Technician
Md. Abul Kashem,Male,1975-01-14,1856806826@yopmail.com,1856806826,Mechanical (SCCL-DF),Jr. Technician
Md.Abul Khair Titu,Male,1975-01-14,1856806827@yopmail.com,1856806827,HR & Admin (SCCL-HO),Driver
Md.Abu Sayad Khan,Male,1975-01-14,1856806828@yopmail.com,1856806828,Production (SCCL-CTG),Operator
Md. Abu Sufian Khandokar,Male,1975-01-14,1856806829@yopmail.com,1856806829,Sales & Marketing (Caustic),Executive
Md. Abu Toyub,Male,1975-01-14,1856806830@yopmail.com,1856806830,Transport,Lorry Driver
Md. Abu Yousuf,Male,1975-01-14,1856806831@yopmail.com,1856806831,Service (SPL-DF),"Manager, Electrical."
Md. Ahadul Alam,Male,1975-01-14,1856806832@yopmail.com,1856806832,HR & Admin (SCCL-CTG),Officer
Md.Ahamudul Hoque,Male,1975-01-14,1856806833@yopmail.com,1856806833,Accounts & Finance (SPPL-HO),Sr.Officer
Md.Ahsanul Haque Khan,Male,1975-01-14,1856806834@yopmail.com,1856806834,Production (SSCL-CTG),IPE
Md.Akter Hossain,Male,1975-01-14,1856806835@yopmail.com,1856806835,Production (SCCL-DF),"Operator, Brine"
Md.Akter Hossain,Male,1975-01-14,1856806836@yopmail.com,1856806836,Production (SCCL-CTG),Helper
Md.Akther Hossen Rana,Male,1975-01-14,1856806837@yopmail.com,1856806837,HR & Admin (SCCL-HO),Driver
Md.Alamgir,Male,1975-01-14,1856806838@yopmail.com,1856806838,HR & Admin (SCCL-HO),Peon
Md. Alamgir,Male,1975-01-14,1856806839@yopmail.com,1856806839,Security,Security Guard
Md.Al-Amin,Male,1975-01-14,1856806840@yopmail.com,1856806840,Sales & Marketing (SSCL-HO),"Sr.Executive,Sales & Marketing"
Md. Al Hasan Rabbi,Male,1975-01-14,1856806841@yopmail.com,1856806841,Blow Mould,Helper
MD. Aman Ullah Al-Amin,Male,1975-01-14,1856806842@yopmail.com,1856806842,Production (SSCL-CTG),IPE
Md.Aminur Rahman,Male,1975-01-14,1856806843@yopmail.com,1856806843,Production (SCCL-DF),"Operator, DM,CW,WP"
Md.Anam Hossain,Male,1975-01-14,1856806844@yopmail.com,1856806844,HR & Admin (SCCL-DF),Driver
Md.Anamul Kibria,Male,1975-01-14,1856806845@yopmail.com,1856806845,Sales & Marketing (H2o2),"DGM, Sales & Marketing"
Md.Anwar Hossain,Male,1975-01-14,1856806846@yopmail.com,1856806846,HR & Admin (SCCL-HO),Driver
Md.Anwar Hossain,Male,1975-01-14,1856806847@yopmail.com,1856806847,Mechanical (SCCL-DF),Lathe Operator
Md. Anwar Ulla,Male,1975-01-14,1856806848@yopmail.com,1856806848,Production (SCCL-DF),"Operator, Flaking"
Md. Arafath Khan,Male,1975-01-14,1856806849@yopmail.com,1856806849,Production (SCCL-CTG),Operator
Md. Arif,Male,1975-01-14,1856806850@yopmail.com,1856806850,Transport,Lorry Helper
Md. Arif Hossain,Male,1975-01-14,1856806851@yopmail.com,1856806851,Quality Assurance (SCCL-DF),Lab Assistant
Md. Arif Mia,Male,1975-01-14,1856806852@yopmail.com,1856806852,Mechanical (SCCL-DF),Jr. Technician
Md. Ariful Islam,Male,1975-01-14,1856806853@yopmail.com,1856806853,Production (SCCL-CTG), Assistant Engineer
Md. Ariful Islam,Male,1975-01-14,1856806854@yopmail.com,1856806854,HR & Admin (SCCL-DF),Security Guard
Md. Ariful Islam,Male,1975-01-14,1856806855@yopmail.com,1856806855,Mechanical (SCCL-DF),Trainee Engineer
Md.Ariful Islam,Male,1975-01-14,1856806856@yopmail.com,1856806856,Quality Assurance (SCCL-DF),"Chemist, QC"
Md. Ariful Islam (Babul),Male,1975-01-14,1856806857@yopmail.com,1856806857,Store (SCCL-DF),Store Helper
Md. Asadul Islam,Male,1975-01-14,1856806858@yopmail.com,1856806858,Quality Assurance (SCCL-DF),Trainee Chemist
Md. Asadul Islam,Male,1975-01-14,1856806859@yopmail.com,1856806859,Operation (SPL-DF),Asst. Technician
Md.Asaduzzaman,Male,1975-01-14,1856806860@yopmail.com,1856806860,Production (SCCL-DF),"Operator, Chlorine Drying"
Md. Ashraful Alam,Male,1975-01-14,1856806861@yopmail.com,1856806861,Production (SCCL-DF),Sr.Engineer
Md. Ashraful Alam,Male,1975-01-14,1856806862@yopmail.com,1856806862,Mechanical (SCCL-DF),"Engineer, Mechanical"
Md.Ashraful Alam,Male,1975-01-14,1856806863@yopmail.com,1856806863,HR & Admin (SCCL-DF),Security Guard
Md.Ashraful Alam,Male,1975-01-14,1856806864@yopmail.com,1856806864,Mechanical (SCCL-DF),Assistant Technician
Md.Ashraful Islam,Male,1975-01-14,1856806865@yopmail.com,1856806865,Production (SCCL-DF),Operator
Md. Asraful Islam,Male,1975-01-14,1856806866@yopmail.com,1856806866,Operation (SPL-DF),Trainee Engineer
Md.Ataur Rahaman,Male,1975-01-14,1856806867@yopmail.com,1856806867,Production (SCCL-DF),Manager
Md. Ataur Rahman,Male,1975-01-14,1856806868@yopmail.com,1856806868,HR & Admin (SCCL-DF),Security Guard
Md. Ataur Rahman,Male,1975-01-14,1856806869@yopmail.com,1856806869,Regulatory Affairs,Officer
Md.Atiar Rahman,Male,1975-01-14,1856806870@yopmail.com,1856806870,Blow Mould,Helper
Md. Atikur Rahman,Male,1975-01-14,1856806871@yopmail.com,1856806871,Production (SCCL-CTG),Trainee Engineer
Md.Atuar Hossain,Male,1975-01-14,1856806872@yopmail.com,1856806872,Blow Mould,Operator
Md.Ayub Ali-2,Male,1975-01-14,1856806873@yopmail.com,1856806873,Transport,Helper
Md.Azizul Hoque,Male,1975-01-14,1856806874@yopmail.com,1856806874,Production (SCCL-DF),Assistant. Manager
Md. Babul,Male,1975-01-14,1856806875@yopmail.com,1856806875,Transport, Truck Driver
Md.Babul Islam,Male,1975-01-14,1856806876@yopmail.com,1856806876,HR & Admin (SCCL-DF),Security Guard
Md. Badul,Male,1975-01-14,1856806877@yopmail.com,1856806877,HR & Admin (SCCL-HO),Driver
Md.Belal Hossain,Male,1975-01-14,1856806878@yopmail.com,1856806878,Production (SCCL-DF),Operator
Md. Belal Hossain Mazumder,Male,1975-01-14,1856806879@yopmail.com,1856806879,Operation (SPPL-HO),Project Manager
Md.Borhan Ali,Male,1975-01-14,1856806880@yopmail.com,1856806880,Mechanical (SCCL-DF),Assistant Technician
Md. Daudul Islam,Male,1975-01-14,1856806881@yopmail.com,1856806881,HR & Admin (SPPL-HO),Officer
Md. Delowar (3),Male,1975-01-14,1856806882@yopmail.com,1856806882,Mechanical (SCCL-DF),Jr. Technician
Md.Delowar Hossain,Male,1975-01-14,1856806883@yopmail.com,1856806883,Production (SCCL-DF),"Operator, Flaking"
Md.Delowar Hossen 2,Male,1975-01-14,1856806884@yopmail.com,1856806884,Mechanical (SCCL-DF),Jr.Technician
Md. Delwar Hossain,Male,1975-01-14,1856806885@yopmail.com,1856806885,HR & Admin (SCCL-DF),Jr. Officer
Md.Easin,Male,1975-01-14,1856806886@yopmail.com,1856806886,Transport,Lorry Helper
Md. Ekramul Haque,Male,1975-01-14,1856806887@yopmail.com,1856806887,Production (SCCL-DF),"Operator, Brine"
Md. Elias Ahammed,Male,1975-01-14,1856806888@yopmail.com,1856806888,Quality Assurance (SCCL-DF),"Chemist, QC"
Md. Elius Ovi,Male,1975-01-14,1856806889@yopmail.com,1856806889,Mechanical (SCCL-CTG),Fitter 
Md.Emdadul Haque ,Male,1975-01-14,1856806890@yopmail.com,1856806890,HR & Admin (SCCL-DF),Security Guard
Md.Emdadul Huque Mazumder ,Male,1975-01-14,1856806891@yopmail.com,1856806891,Sales & Marketing (SSCL-HO),Sr.Executive
Md. Eyasin Ali,Male,1975-01-14,1856806892@yopmail.com,1856806892,Production (SPPL-CTG),Engineer
Md. Fajor Ali,Male,1975-01-14,1856806893@yopmail.com,1856806893,HR & Admin (SCCL-HO),Driver
Md.Farid Uddin Masud,Male,1975-01-14,1856806894@yopmail.com,1856806894,Production (SCCL-DF),Process Chemist
Md.Faruk,Male,1975-01-14,1856806895@yopmail.com,1856806895,Transport,Lorry Driver
Md. Faruk,Male,1975-01-14,1856806896@yopmail.com,1856806896,Production (SCCL-DF),"Operator, Flaking"
Md.Fazlur Rahman,Male,1975-01-14,1856806897@yopmail.com,1856806897,Electrical & Instrument (SCCL-DF),Electrician
Md.Ferdousur Rahaman,Male,1975-01-14,1856806898@yopmail.com,1856806898,Production (SCCL-DF),Sr.Officer
Md.Forhad Hossain,Male,1975-01-14,1856806899@yopmail.com,1856806899,Sales & Marketing (H2o2),Assistant Officer
Md.Foridul Hashan,Male,1975-01-14,1856806900@yopmail.com,1856806900,Production (SCCL-DF),"Operator, Liquid Chlorine"
Md. Foysal Monsoor,Male,1975-01-14,1856806901@yopmail.com,1856806901,Production (SCCL-CTG),Trainee Engineer
Md.Hafizur Rahman,Male,1975-01-14,1856806902@yopmail.com,1856806902,Mechanical (SCCL-DF),Asst.Supervisor
Md.Hafizur Rahman,Male,1975-01-14,1856806903@yopmail.com,1856806903,HR & Admin (SCCL-DF),Assistant. Manager
Md.Haidar Ali ,Male,1975-01-14,1856806904@yopmail.com,1856806904,HR & Admin (SCCL-HO),Asst.Supervisor
Md.Harun,Male,1975-01-14,1856806905@yopmail.com,1856806905,Transport,Driver
Md. Hasan,Male,1975-01-14,1856806906@yopmail.com,1856806906,Service (SPL-DF),Technician
Md. Hasanur Rahman,Male,1975-01-14,1856806907@yopmail.com,1856806907,Blow Mould,Asst. Operator
Md.Hasanuzzaman,Male,1975-01-14,1856806908@yopmail.com,1856806908,Electrical & Instrument (SCCL-CTG),Helper
Md.Hazrat Belal,Male,1975-01-14,1856806909@yopmail.com,1856806909,Mechanical (SCCL-DF),Assistant Technician
Md. Helal Uddin,Male,1975-01-14,1856806910@yopmail.com,1856806910,Transport,Lorry Helper
Md.Helal Uddin,Male,1975-01-14,1856806911@yopmail.com,1856806911,Quality Assurance (SCCL-DF),Lab Assistant
Md.Humayun Kabir Chy,Male,1975-01-14,1856806912@yopmail.com,1856806912,HR & Admin (SCCL-DF),Security Inspector
Md.Ibrahim Khalil,Male,1975-01-14,1856806913@yopmail.com,1856806913,HR & Admin (SCCL-HO),Driver
Md.Idrish,Male,1975-01-14,1856806914@yopmail.com,1856806914,Transport,Lorry Driver
Md.Idrish (SY),Male,1975-01-14,1856806915@yopmail.com,1856806915,Security,SY.Guard
Md.Imran Ahamed,Male,1975-01-14,1856806916@yopmail.com,1856806916,HR & Admin (SCCL-HO),Peon
Md.Imran Hossain,Male,1975-01-14,1856806917@yopmail.com,1856806917,Production (SCCL-DF),"Operator, Boiler"
Md. Iqbal Hossain,Male,1975-01-14,1879895919@yopmail.com,1879895919,Production (SPPL-CTG),Engineer (Process)
Md.Iqbal Hossain,Male,1975-01-14,1817272742@yopmail.com,1817272742,Quality Assurance (SCCL-CTG),Helper
Md.Iskander ,Male,1975-01-14,1840863241@yopmail.com,1840863241,Store (SCCL-DF),Officer
Md.Iskander Mirza,Male,1975-01-14,1762408605@yopmail.com,1762408605,Production (SCCL-DF),"Operator, DM,CW,WP"
Md. Ismail Hawlader,Male,1975-01-14,1814170453@yopmail.com,1814170453,HR & Admin (SCCL-HO),Driver
Md. Jahangir Alam,Male,1975-01-14,1814170454@yopmail.com,1814170454,HR & Admin (SCCL-DF),Security Guard
Md.Jahangir Alam,Male,1975-01-14,1814170455@yopmail.com,1814170455,Production (SCCL-DF),"Operator, DM,CW,WP"
Md. Jahangir Alam Sumon,Male,1975-01-14,1814170456@yopmail.com,1814170456,HR & Admin (SCCL-DF),Vehicle Mechanic
Md.Jahangir Hossain,Male,1975-01-14,1814170457@yopmail.com,1814170457,Mechanical (SCCL-DF),Mechanical Fitter
Md. Jahed Hossain,Male,1975-01-14,1814170458@yopmail.com,1814170458,Production (SPPL-CTG),Junior Operator
Md. Jahidul Islam,Male,1975-01-14,1814170459@yopmail.com,1814170459,Accounts & Finance (SCCL-DF),"Imam cum Officer, Admin"
Md. Jahirul Islam,Male,1975-01-14,1814170460@yopmail.com,1814170460,Production (SCCL-DF),"Operator, Flaking"
Md. Jakaria,Male,1975-01-14,1814170461@yopmail.com,1814170461,Regulatory Affairs,Sr. Officer
Md.Jamal Hossain,Male,1975-01-14,1814170462@yopmail.com,1814170462,Mechanical (SCCL-DF),Technician
Md.Jamal Hossain,Male,1975-01-14,1814170463@yopmail.com,1814170463,Production (SCCL-DF),"Operator, Brine"
Md.Jamshed Hossain,Male,1975-01-14,1814170464@yopmail.com,1814170464,Production (SCCL-DF),"Operator, CPW"
Md.Jashem Uddin Chowdhury,Male,1975-01-14,1814170465@yopmail.com,1814170465,Transport,Driver
 Md.Jasim uddin ,Male,1975-01-14,1814170466@yopmail.com,1814170466,Service (SPL-CTG),Technician
Md.Jasim Uddin,Male,1975-01-14,1814170467@yopmail.com,1814170467,Production (SCCL-DF),"Operator, HCL,Hypo Storage"
Md.Jewel Babu,Male,1975-01-14,1814170468@yopmail.com,1814170468,Production (SCCL-DF),"Operator, DM,CW,WP"
Md.Jobaydur Rahman,Male,1975-01-14,1814170469@yopmail.com,1814170469,Mechanical (SCCL-DF),Deputy Manager
Md. Kabir Ahmed,Male,1975-01-14,1814170470@yopmail.com,1814170470,HR & Admin (SCCL-DF),Security Guard
Md.Kabir Hossain,Male,1975-01-14,1814170471@yopmail.com,1814170471,Mechanical (SCCL-DF),Asst.Supervisor
Md.Kabir Khan,Male,1975-01-14,1814170472@yopmail.com,1814170472,Electrical & Instrument (SCCL-DF),Sub Station Tecnician
Md.Kadom Ali,Male,1975-01-14,1814170473@yopmail.com,1814170473,Mechanical (SCCL-DF),Assistant Technician
Md.Kamaruzzaman,Male,1975-01-14,1814170474@yopmail.com,1814170474,Supply Chain Foreign (SCCL-HO),Officer
Md.Kamrul Islam(Milon),Male,1975-01-14,1814170475@yopmail.com,1814170475,Mechanical (SCCL-DF),Assistant Technician
Md.Kamruzzaman,Male,1975-01-14,1814170476@yopmail.com,1814170476,Operation (SCCL-HO),Chief Operating Officer
Md.Karimul Haque,Male,1975-01-14,1814170477@yopmail.com,1814170477,Mechanical (SCCL-DF),Assistant Mechanical Fitter
Md.Khaled Hossain,Male,1975-01-14,1814170478@yopmail.com,1814170478,Supply Chain Local (SCCL-HO),Jr.Officer
Md. Khalil,Male,1975-01-14,1814170479@yopmail.com,1814170479,HR & Admin (SCCL-CTG),Cook
Md.Khorshed Alam,Male,1975-01-14,1814170480@yopmail.com,1814170480,Production (SCCL-DF),"Operator, Electrolyzer & Dechlorination"
Md.Khurshedul Alam,Male,1975-01-14,1814170481@yopmail.com,1814170481,Electrical & Instrument (SCCL-CTG),Officer
Md.Liton Hasan,Male,1975-01-14,1814170482@yopmail.com,1814170482,Production (SCCL-DF),Boiler Operator
Md.Lokman,Male,1975-01-14,1814170483@yopmail.com,1814170483,Mechanical (SCCL-DF),Jr.Technician
Md.Mahabub Alam,Male,1975-01-14,1814170484@yopmail.com,1814170484,Security,SY.Guard
Md.Mahdi Abdullah,Male,1975-01-14,1814170485@yopmail.com,1814170485,Production (SCCL-DF),Process Chemist
Md.Mahedi Hasan 2,Male,1975-01-14,1814170486@yopmail.com,1814170486,Mechanical (SCCL-DF),Assistant Technician
Md.Mahidur Alam,Male,1975-01-14,1814170487@yopmail.com,1814170487,Production (SCCL-DF),Operator
Md.Mahmudul Hasan,Male,1975-01-14,1814170488@yopmail.com,1814170488,Service (SPL-DF),Technician
Md.Mahmudul Hasan,Male,1975-01-14,1814170489@yopmail.com,1814170489,Production (SCCL-DF),Deputy Manager
Md. Mainnuddin Khan,Male,1975-01-14,1814170490@yopmail.com,1814170490,Operation (SPL-DF),Electrician
Md.Mainuddin,Male,1975-01-14,1814170491@yopmail.com,1814170491,Electrical & Instrument (SCCL-CTG),Helper
Md.Main uddin Ahmed,Male,1975-01-14,1814170492@yopmail.com,1814170492,Production (SCCL-CTG),"Senior Engineer, DCS"
Md.Mamunul Islam,Male,1975-01-14,1814170493@yopmail.com,1814170493,Operation (SCCL-CTG),Sr.Deputy General Manager
